"latin_name","climate","ecozone","food","migrate5","migrate2","species_number","source"
"Gadus morhua","M","MA","C","oceanodromous","migration",661,"ecotox"
"Leucoraja erinacea","M","MA","C","no_migration","no_migration",700,"ecotox"
"Opsanus beta","M","MA","C","oceanodromous","migration",707,"ecotox"
"Palaemonetes varians","M","MA","D_S","no_migration","no_migration",714,"ecotox"
"Lipophrys pholis","M","MA","C","no_migration","no_migration",731,"ecotox"
"Palaemon elegans","M","MA","D_S","no_migration","no_migration",732,"ecotox"
"Oncorhynchus keta","M_D","MP_TH","C","diadromous","migration",736,"ecotox"
"Tautogolabrus adspersus","M_D","MA_TH","C","no_migration","no_migration",761,"ecotox"
"Neogobius melanostomus","M","MA","C_P","no_migration","no_migration",766,"ecotox"
"Scyliorhinus canicula","M","MA","C","no_migration","no_migration",810,"ecotox"
"Daphnia cucullata","C_D","TH","P_D","no_migration","no_migration",836,"ecotox"
"Polyodon spathula","C_D","TH","P","potamodromous","migration",866,"ecotox"
"Micropogonias undulatus","M","MA","C","no_migration","no_migration",882,"ecotox"
"Acipenser stellatus","M_B_D","MA_TH","C","diadromous","migration",889,"ecotox"
"Ameiurus natalis","C_D","TH","C","no_migration","no_migration",892,"ecotox"
"Clupea pallasii","M","MP_MN","P","oceanodromous","migration",894,"ecotox"
"Gymnocephalus cernuus","C_D","TH","C","no_migration","no_migration",900,"ecotox"
"Moina macrocopa","C_D","TH","P_D","no_migration","no_migration",901,"ecotox"
"Sphoeroides maculatus","M","MA","C","no_migration","no_migration",966,"ecotox"
"Ictiobus cyprinellus","C","TH","C_H","no_migration","no_migration",967,"ecotox"
"Pylodictis olivaris","C_D","TH","C","no_migration","no_migration",969,"ecotox"
"Penaeus semisulcatus","M","MP_MI_MA","D_S","no_migration","no_migration",1008,"ecotox"
"Solea solea","M","MA","C","oceanodromous","migration",1020,"ecotox"
"Squalus acanthias","M","MA","C","oceanodromous","migration",1026,"ecotox"
"Lithognathus mormyrus","M","MA","C","oceanodromous","migration",1037,"ecotox"
"Diplodus sargus","M","MA","C_H","oceanodromous","migration",1038,"ecotox"
"Argulus coregoni","C_D","TH","T","no_migration","no_migration",1050,"ecotox"
"Micropterus treculii","C","TH","C","no_migration","no_migration",1058,"ecotox"
"Platichthys stellatus","M","MP","C","diadromous","migration",1094,"ecotox"
"Etheostoma flabellare","C_D","TH","C","no_migration","no_migration",1115,"ecotox"
"Opsopoeodus emiliae","C_D","TH","C_H","potamodromous","migration",1133,"ecotox"
"Hypophthalmichthys molitrix","C","TH","C_H","potamodromous","migration",1141,"ecotox"
"Huso huso","M_B","MA_TH","C","diadromous","migration",1185,"ecotox"
"Gobio gobio","C_D","TH","C","potamodromous","migration",1189,"ecotox"
"Erimyzon sucetta","C_D","TH","C","no_migration","no_migration",1195,"ecotox"
"Sciaenops ocellatus","M","MA","C","oceanodromous","migration",1196,"ecotox"
"Aphanius fasciatus","C_M","MA_TH","C","no_migration","no_migration",1213,"ecotox"
"Cyprinella lutrensis","C_D","TH","H_C","diadromous","migration",1268,"ecotox"
"Corophium volutator","M","MA","P_D","no_migration","no_migration",1342,"ecotox"
"Triops longicaudatus","B","TH","D_H","no_migration","no_migration",1366,"ecotox"
"Mugil curema","M_C","MC_TH_TN","C","diadromous","migration",1397,"ecotox"
"Kryptolebias marmoratus","A_C","TN","C","no_migration","no_migration",1517,"synonym"
"Neomysis integer","M","MA","P","no_migration","no_migration",1577,"ecotox"
"Mallotus villosus","M","MP_MA_MN","P","amphidromous","migration",1581,"ecotox"
"Channa marulius","A","TP","C","potamodromous","migration",1585,"ecotox"
"Noturus miurus","C_D","TH","C","no_migration","no_migration",1651,"ecotox"
"Leuresthes tenuis","M","MP","C","potamodromous","migration",1654,"ecotox"
"Gobiosoma bosc","C","TH_MA","O","no_migration","no_migration",1659,"ecotox"
"Astacus astacus","C_D","TH","D_C_S","no_migration","no_migration",1669,"ecotox"
"Xiphophorus helleri","A","TN","C_H","no_migration","no_migration",1681,"ecotox"
"Etheostoma nigrum","C_D","TH","C","no_migration","no_migration",1691,"ecotox"
"Notropis stramineus","C_D","TH","C_H","potamodromous","migration",1695,"ecotox"
"Rhinichthys cataractae","B_C_D","TH","D_H","potamodromous","migration",1696,"ecotox"
"Fundulus notatus","C_D","TH","C","no_migration","no_migration",1709,"ecotox"
"Notropis buccatus","C_D","TH","C","potamodromous","migration",1711,"ecotox"
"Lythrurus umbratilis","B_C_D","TH","H_C","potamodromous","migration",1715,"ecotox"
"Esox masquinongy","D","TH","C","no_migration","no_migration",1789,"ecotox"
"Limanda ferruginea","M","MA","C","oceanodromous","migration",1895,"synonym"
"Prosopium williamsoni","B_C_D","TH","P_C","no_migration","no_migration",1934,"ecotox"
"Praunus flexuosus","M","MA","P","no_migration","no_migration",1940,"ecotox"
"Scophthalmus maximus","M","MA","C","oceanodromous","migration",1977,"synonym"
"Hybognathus placitus","B_C_D","TH","H_D","potamodromous","migration",1990,"ecotox"
"Clarias gariepinus","A","TP","C","potamodromous","migration",2079,"ecotox"
"Pagurus bernhardus","M","MA","D_C_S","no_migration","no_migration",2107,"ecotox"
"Cancer pagurus","M","MA","D_C_S","no_migration","no_migration",2124,"ecotox"
"Scardinius erythrophthalmus","C_D","TH","C_H_D","potamodromous","migration",2145,"ecotox"
"Portunus trituberculatus","A_C_D","MP_MS","D_C_S","no_migration","no_migration",2148,"ecotox"
"Coregonus lavaretus","C","TH","P","diadromous","migration",2162,"ecotox"
"Temora longicornis","M","MA","P","no_migration","no_migration",2180,"ecotox"
"Salvelinus alpinus","M_D_E","MA_MN_TH","C","diadromous","migration",2191,"ecotox"
"Paralichthys lethostigma","M_C","MA_TH","C","no_migration","no_migration",2193,"ecotox"
"Aphanius dispar","B_M","TH_MA_MI","O","no_migration","no_migration",2195,"ecotox"
"Pungitius pungitius","M","MA_MP_TH","C","amphidromous","migration",2197,"ecotox"
"Silurus glanis","C_D","TH","C","no_migration","no_migration",2231,"ecotox"
"Notropis rubellus","C_D","TH","O","no_migration","no_migration",2238,"ecotox"
"Gammarus fossarum","C_D","TH","D","no_migration","no_migration",2258,"ecotox"
"Hypophthalmichthys nobilis","C_D","TH","H","potamodromous","migration",2266,"ecotox"
"Pomatoschistus minutus","M","MA","C_P","amphidromous","migration",2278,"ecotox"
"Clupea harengus","M","MA","P","oceanodromous","migration",2279,"ecotox"
"Diaphanosoma brachyurum","C_D","TH","P_D","no_migration","no_migration",2309,"ecotox"
"Leptodora kindtii","C_D","TH","P_D","no_migration","no_migration",2310,"ecotox"
"Abramis brama","C_D","TH","C_H","potamodromous","migration",2333,"ecotox"
"Ceriodaphnia dubia","C_D","TH","P_D","no_migration","no_migration",2371,"ecotox"
"Centropomus undecimalis","M","MA","C","amphidromous","migration",2383,"ecotox"
"Cyclopterus lumpus","M","MA","C","oceanodromous","migration",2409,"ecotox"
"Galaxias maculatus","C_B","TN_TA","C","diadromous","migration",2497,"ecotox"
"Entosphenus tridentatus","M_B_C","MP_TH","D_T","diadromous","migration",2513,"synonym"
"Acipenser brevirostrum","M_C_D","MA_TH","C","diadromous","migration",2514,"ecotox"
"Acipenser fulvescens","D","TH","C","potamodromous","migration",2515,"ecotox"
"Acipenser oxyrinchus","C_D","TH","C","diadromous","migration",2516,"synonym"
"Acipenser transmontanus","M_B_D","MP_TH","C","diadromous","migration",2517,"ecotox"
"Scaphirhynchus platorynchus","C_D","TH","C","potamodromous","migration",2519,"ecotox"
"Lepisosteus oculatus","C_D","TH","C","no_migration","no_migration",2520,"ecotox"
"Oncorhynchus gilae","B","TH","C","potamodromous","migration",2547,"ecotox"
"Notropis topeka","C_D","TH","C","potamodromous","migration",2591,"ecotox"
"Ptychocheilus lucius","B","TH","C","potamodromous","migration",2599,"ecotox"
"Catostomus latipinnis","C","TH","C","no_migration","no_migration",2605,"ecotox"
"Xyrauchen texanus","B","TH","C","no_migration","no_migration",2617,"ecotox"
"Ictalurus furcatus","C_D","TH","C","no_migration","no_migration",2618,"ecotox"
"Apeltes quadracus","D","TH","C","no_migration","no_migration",2632,"ecotox"
"Fundulus parvipinnis","M","MP","C","no_migration","no_migration",2876,"ecotox"
"Leptomysis lingvura","M","MA","P","no_migration","no_migration",3034,"ecotox"
"Fenneropenaeus chinensis","M","MP","D_S","no_migration","no_migration",3044,"synonym"
"Sander vitreus","D","TH","C","potamodromous","migration",3056,"ecotox"
"Cottus gobio","C_D","TH","C","no_migration","no_migration",4386,"ecotox"
"Gambusia holbrooki","B_C","TP_TH","C","no_migration","no_migration",4393,"ecotox"
"Scorpaenichthys marmoratus","M","MP","C","no_migration","no_migration",4595,"ecotox"
"Ameiurus nebulosus","C_D","TH","C_H","no_migration","no_migration",4603,"ecotox"
"Stephanolepis hispidus","M","MA","C","no_migration","no_migration",4631,"synonym"
"Tigriopus brevicornis","M","MA","P","no_migration","no_migration",4707,"ecotox"
"Acanthopagrus schlegelii","M","MP","C","oceanodromous","migration",4776,"ecotox"
"Vimba vimba","B_D","TH","C_D","no_migration","no_migration",4804,"ecotox"
"Acipenser ruthenus","D","TH","C","potamodromous","migration",4805,"ecotox"
"Gila elegans","B","TH","C_H","potamodromous","migration",4810,"ecotox"
"Engraulis japonicus","M","MP","P","oceanodromous","migration",4844,"ecotox"
"Monopterus albus","A_C","TP_TH","C","potamodromous","migration",4866,"ecotox"
"Danio rerio","A","TP","C","no_migration","no_migration",5156,"ecotox"
"Orconectes neglectus","C","TH","O","no_migration","no_migration",5225,"ecotox"
"Platygobio gracilis","C_D","TH","C","potamodromous","migration",5363,"ecotox"
"Argyrosomus japonicus","M","MP","C","oceanodromous","migration",5435,"ecotox"
"Lepeophtheirus salmonis","M","MA_MP","T","no_migration","no_migration",5473,"ecotox"
"Pacifastacus leniusculus","C_D","TH","D_C_S","no_migration","no_migration",5528,"ecotox"
"Odontesthes argentinensis","M","MA","C","amphidromous","migration",5871,"ecotox"
"Melanogrammus aeglefinus","M","MA","C","oceanodromous","migration",6046,"ecotox"
"Catostomus platyrhynchus","B","TH","C","no_migration","no_migration",6051,"ecotox"
"Pterophyllum scalare","A","TN","O","no_migration","no_migration",7377,"ecotox"
"Solea senegalensis","M","MA","C","oceanodromous","migration",10418,"ecotox"
"Notropis blennius","C_D","TH","C","potamodromous","migration",10501,"ecotox"
"Sparus aurata","M","MA","C","no_migration","no_migration",11036,"ecotox"
"Sander lucioperca","C_D","TH","C","potamodromous","migration",11164,"ecotox"
"Channa argus","C","TH","C","no_migration","no_migration",11595,"ecotox"
"Zoarces viviparus","M","MA","C","no_migration","no_migration",11599,"ecotox"
"Chasmistes brevirostris","C_D","TH","C","no_migration","no_migration",11771,"ecotox"
"Deltistes luxatus","C","TH","C","no_migration","no_migration",11772,"ecotox"
"Cyprinodon bovinus","B","TH","C_H","no_migration","no_migration",11784,"ecotox"
"Aphanius iberus","B","TH","O","no_migration","no_migration",15658,"ecotox"
"Oithona similis","M","MC","P","no_migration","no_migration",16284,"ecotox"
"Cynopoecilus melanotaenia","A","TH","C","no_migration","no_migration",16409,"ecotox"
"Siganus rivulatus","M","MI","C_H","oceanodromous","migration",16546,"ecotox"
"Pogonichthys macrolepidotus","D","TH","C_H","potamodromous","migration",16740,"ecotox"
"Acanthocyclops robustus","C_D","TH","P_C","no_migration","no_migration",16769,"ecotox"
"Litopenaeus stylirostris","M","MP","D_S","no_migration","no_migration",17738,"ecotox"
"Heterobranchus longifilis","A","TP","C","potamodromous","migration",18756,"ecotox"
"Carassius gibelio","C_D","TH","C_H_D","potamodromous","migration",20118,"ecotox"
"Coryphaena hippurus","M","MC","C","oceanodromous","migration",20125,"ecotox"
"Colossoma macropomum","A","TN","C_H","no_migration","no_migration",20159,"ecotox"
"Hybognathus amarus","B","TH","H_D","potamodromous","migration",20304,"ecotox"
"Neohelice granulata","M","MA","D_H","no_migration","no_migration",20381,"ecotox"
"Pangasianodon hypophthalmus","A","TP","C","potamodromous","migration",25227,"ecotox"
"Coregonus albula","D","MA_TH","P","diadromous","migration",25534,"ecotox"
"Gila cypha","B","TH","C_H","potamodromous","migration",26920,"ecotox"
"Acipenser persicus","M_B","MA_TH","C","diadromous","migration",27776,"ecotox"
"Brycon amazonicus","A","TN","C","no_migration","no_migration",29049,"ecotox"
"Dikerogammarus villosus","C_D","TH","D_C","no_migration","no_migration",29799,"ecotox"
"Fundulus seminolis","C","TH","C_H","no_migration","no_migration",29856,"ecotox"
"Arapaima gigas","A","TN","C","no_migration","no_migration",31364,"ecotox"
"Amphibalanus amphitrite","M","MC","P","no_migration","no_migration",31962,"ecotox"
"Piaractus brachypomus","A","TN","C","no_migration","no_migration",32227,"ecotox"
"Diplodus cervinus","M","MA","C_H","oceanodromous","migration",38496,"ecotox"
"Notropis maculatus","C","TH","C_H","potamodromous","migration",43105,"ecotox"
"Nothobranchius furzeri","C","TP","C","no_migration","no_migration",48206,"ecotox"
"Mugil liza","M","MA","C","diadromous","migration",49938,"ecotox"
"Cyprinella trichroistia","C","TH","H_C","diadromous","migration",56587,"ecotox"
"Atractosteus spatula","M_C","TH","C","no_migration","no_migration",56610,"ecotox"
