bit	SMARTS	description
51	[#6]~[#16]~[#8]	CSO
52	[#7]~[#7]	NN
53	[!#6;!#1;!H0]~*~*~*~[!#6;!#1;!H0]	QHAAAQH
54	[!#6;!#1;!H0]~*~*~[!#6;!#1;!H0]	QHAAQH
55	[#8]~[#16]~[#8]	OSO
56	[#8]~[#7](~[#8])~[#6]	ON(O)C
57	[#8R]	O Heterocycle
58	[!#6;!#1]~[#16]~[!#6;!#1]	QSQ
59	[#16]!:*:*	Snot%A%A
60	[#16]=[#8]	S=O
61	*~[#16](~*)~*	AS(A)A
62	*@*!@*@*	A$!A$A
63	[#7]=[#8]	N=O
64	*@*!@[#16]	A$A!S
65	c:n	C%N
66	[#6]~[#6](~[#6])(~[#6])~*	CC(C)(C)A
67	[!#6;!#1]~[#16]	QS
68	[!#6;!#1;!H0]~[!#6;!#1;!H0]	QHQH (&...) Spec Incomplete
69	[!#6;!#1]~[!#6;!#1;!H0]	QQH
70	[!#6;!#1]~[#7]~[!#6;!#1]	QNQ
71	[#7]~[#8]	NO
72	[#8]~*~*~[#8]	OAAO
73	[#16]=*	S=A
74	[CH3]~*~[CH3]	CH3ACH3
75	*!@[#7]@*	A!N$A
76	[#6]=[#6](~*)~*	C=C(A)A
77	[#7]~*~[#7]	NAN
78	[#6]=[#7]	C=N
79	[#7]~*~*~[#7]	NAAN
80	[#7]~*~*~*~[#7]	NAAAN
81	[#16]~*(~*)~*	SA(A)A
82	*~[CH2]~[!#6;!#1;!H0]	ACH2QH
83	[!#6;!#1]1~*~*~*~*~1	QAAAA@1
84	[NH2]	NH2
85	[#6]~[#7](~[#6])~[#6]	CN(C)C
86	[C;H2,H3][!#6;!#1][C;H2,H3]	CH2QCH2
87	[F,Cl,Br,I]!@*@*	X!A$A
88	[#16]	S
89	[#8]~*~*~*~[#8]	OAAAO
90	[$([!#6;!#1;!H0]~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[CH2;R]1)]	QHAACH2A
91	[$([!#6;!#1;!H0]~*~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~*~[R]1@[R]@[CH2;R]1)]	QHAAACH2A
92	[#8]~[#6](~[#7])~[#6]	OC(N)C
93	[!#6;!#1]~[CH3]	QCH3
94	[!#6;!#1]~[#7]	QN
95	[#7]~*~*~[#8]	NAAO
96	*1~*~*~*~*~1	5 M ring
97	[#7]~*~*~*~[#8]	NAAAO
98	[!#6;!#1]1~*~*~*~*~*~1	QAAAAA@1
99	[#6]=[#6]	C=C
100	*~[CH2]~[#7]	ACH2N
101	[$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1),$([R]@1@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]@[R]1)]	8M Ring or larger. This only handles up to ring sizes of 14
102	[!#6;!#1]~[#8]	QO
103	Cl	CL
104	[!#6;!#1;!H0]~*~[CH2]~*	QHACH2A
105	*@*(@*)@*	A$A($A)$A
106	[!#6;!#1]~*(~[!#6;!#1])~[!#6;!#1]	QA(Q)Q
107	[F,Cl,Br,I]~*(~*)~*	XA(A)A
108	[CH3]~*~*~*~[CH2]~*	CH3AAACH2A
109	*~[CH2]~[#8]	ACH2O
110	[#7]~[#6]~[#8]	NCO
111	[#7]~*~[CH2]~*	NACH2A
112	*~*(~*)(~*)~*	AA(A)(A)A
113	[#8]!:*:*	Onot%A%A
114	[CH3]~[CH2]~*	CH3CH2A
115	[CH3]~*~[CH2]~*	CH3ACH2A
116	[$([CH3]~*~*~[CH2]~*),$([CH3]~*1~*~[CH2]1)]	CH3AACH2A
117	[#7]~*~[#8]	NAO
118	[$(*~[CH2]~[CH2]~*),$(*1~[CH2]~[CH2]1)]	ACH2CH2A > 1
119	[#7]=*	N=A
120	[!#6;R]	Heterocyclic atom > 1 (&...) Spec Incomplete
121	[#7;R]	N Heterocycle
122	*~[#7](~*)~*	AN(A)A
123	[#8]~[#6]~[#8]	OCO
124	[!#6;!#1]~[!#6;!#1]	QQ
125	?	Aromatic Ring > 1
126	*!@[#8]!@*	A!O!A
127	*@*!@[#8]	A$A!O > 1 (&...) Spec Incomplete
128	[$(*~[CH2]~*~*~*~[CH2]~*),$([R]1@[CH2;R]@[R]@[R]@[R]@[CH2;R]1),$(*~[CH2]~[R]1@[R]@[R]@[CH2;R]1),$(*~[CH2]~*~[R]1@[R]@[CH2;R]1)]	ACH2AAACH2A
129	[$(*~[CH2]~*~*~[CH2]~*),$([R]1@[CH2]@[R]@[R]@[CH2;R]1),$(*~[CH2]~[R]1@[R]@[CH2;R]1)]	ACH2AACH2A
130	[!#6;!#1]~[!#6;!#1]	QQ > 1 (&...)  Spec Incomplete
131	[!#6;!#1;!H0]	QH > 1
132	[#8]~*~[CH2]~*	OACH2A
133	*@*!@[#7]	A$A!N
134	[F,Cl,Br,I]	X (Halogen)
135	[	Nnot%A%A
136	[#8]=*	O=A>1
137	[!C;!c;R]	Heterocycle
138	[!#6;!#1]~[CH2]~*	QCH2A>1 (&...) Spec Incomplete
139	[O;!H0]	OH
140	[#8]	O > 3 (&...) Spec Incomplete
141	[CH3]	CH3 > 2  (&...) Spec Incomplete
142	[#7]	N > 1
143	*@*!@[#8]	A$A!O
144	*!:*:*!:*	Anot%A%Anot%A
145	*1~*~*~*~*~*~1	6M ring > 1
146	[#8]	O > 2
147	[$(*~[CH2]~[CH2]~*),$([R]1@[CH2;R]@[CH2;R]1)]	ACH2CH2A
148	*~[!#6;!#1](~*)~*	AQ(A)A
149	[C;H3,H4]	CH3 > 1
150	*!@*@*!@*	A!A$A!A
151	[#7;!H0]	NH
152	[#8]~[#6](~[#6])~[#6]	OC(C)C
153	[!#6;!#1]~[CH2]~*	QCH2A
154	[#6]=[#8]	C=O
155	*!@[CH2]!@*	A!CH2!A
156	[#7]~*(~*)~*	NA(A)A
157	[#6]-[#8]	C-O
158	[#6]-[#7]	C-N
159	[#8]	O>1
160	[C;H3,H4]	CH3
161	[#7]	N
162	a	Aromatic
163	*1~*~*~*~*~*~1	6M Ring
164	[#8]	O
165	[R]	Ring
166	?	Fragments
